               Entry              Nevents                           Time                    Temperature                         Energy                  A*                   B*                    A                    B
                   1                    0         0.0000000000000000E+00         5.0000000000000000E+02        -6.5482500000000000E+03                6552                    0                    0                    0
                   2                 5000         4.8848285565130554E+03         5.0000000000000000E+02        -6.5497500000000000E+03                6554                    0                   -2                    0
                   3                10000         9.8427502197520189E+03         5.0000000000000000E+02        -6.5575000000000000E+03                6562                    0                  -10                    0
                   4                15000         1.4666729286867934E+04         5.0000000000000000E+02        -6.5470000000000000E+03                6552                    0                    0                    0
                   5                20000         1.9497271067919748E+04         5.0000000000000000E+02        -6.5537500000000000E+03                6558                    0                   -6                    0
                   6                25000         2.4343356359449201E+04         5.0000000000000000E+02        -6.5602500000000000E+03                6564                    0                  -14                    1
                   7                30000         2.9184634123460666E+04         5.0000000000000000E+02        -6.5535000000000000E+03                6558                    0                  -10                    2
                   8                35000         3.4278583280930034E+04         5.0000000000000000E+02        -6.5547500000000000E+03                6560                    0                  -14                    3
                   9                40000         3.8947790840044632E+04         5.0000000000000000E+02        -6.5435000000000000E+03                6549                    0                   -3                    3
                  10                45000         4.3880340960773035E+04         5.0000000000000000E+02        -6.5310000000000000E+03                6536                    0                   10                    3
                  11                50000         4.8636245315578009E+04         5.0000000000000000E+02        -6.5332500000000000E+03                6539                    0                    7                    3
                  12                55000         5.3397641329390397E+04         5.0000000000000000E+02        -6.5462500000000000E+03                6552                    0                   -6                    3
                  13                60000         5.8137939024441293E+04         5.0000000000000000E+02        -6.5557500000000000E+03                6560                    0                  -16                    4
                  14                65000         6.2999917544912452E+04         5.0000000000000000E+02        -6.5442500000000000E+03                6550                    0                   -6                    4
                  15                70000         6.7907181121424015E+04         5.0000000000000000E+02        -6.5537500000000000E+03                6559                    0                  -15                    4
                  16                75000         7.2776856309429495E+04         5.0000000000000000E+02        -6.5422500000000000E+03                6545                    0                   -1                    4
                  17                80000         7.7503052989497883E+04         5.0000000000000000E+02        -6.5347500000000000E+03                6539                    0                    5                    4
                  18                85000         8.2263253463305329E+04         5.0000000000000000E+02        -6.5485000000000000E+03                6554                    0                  -10                    4
                  19                90000         8.7111282728352860E+04         5.0000000000000000E+02        -6.5537500000000000E+03                6557                    0                  -13                    4
                  20                95000         9.1999095355726662E+04         5.0000000000000000E+02        -6.5652500000000000E+03                6571                    0                  -27                    4
                  21               100000         9.7121507558536759E+04         5.0000000000000000E+02        -6.5462500000000000E+03                6550                    0                   -6                    4
                  22               105000         1.0201370982771073E+05         5.0000000000000000E+02        -6.5407500000000000E+03                6543                    0                    1                    4
                  23               110000         1.0697259552373448E+05         5.0000000000000000E+02        -6.5480000000000000E+03                6552                    0                   -8                    4
                  24               115000         1.1188258746285582E+05         5.0000000000000000E+02        -6.5505000000000000E+03                6555                    0                  -13                    5
                  25               120000         1.1665165900863607E+05         5.0000000000000000E+02        -6.5692500000000000E+03                6575                    0                  -33                    5
                  26               125000         1.2152288983883761E+05         5.0000000000000000E+02        -6.5512500000000000E+03                6556                    0                  -14                    5
                  27               130000         1.2655714451760260E+05         5.0000000000000000E+02        -6.5372500000000000E+03                6543                    0                   -1                    5
                  28               135000         1.3124683989514838E+05         5.0000000000000000E+02        -6.5425000000000000E+03                6547                    0                   -5                    5
                  29               140000         1.3597566487579871E+05         5.0000000000000000E+02        -6.5410000000000000E+03                6544                    0                   -2                    5
                  30               145000         1.4085416667039355E+05         5.0000000000000000E+02        -6.5455000000000000E+03                6549                    0                   -7                    5
