Reaction name 	 Afwd A_fwd/A_rev 	 Ea (eV) 	 delta_E (eV) 
empty	 5.796E+12	 1.518	 0.000	 -1.901 
empty	 5.796E+12	 2.206	 0.000	 -2.318 
empty	 5.796E+12	 0.885	 0.977	 0.977 
TS4	 1.212E+13	 2.182	 1.242	 -0.168 
empty	 5.796E+12	 1.644	 0.000	 -0.360 
TS6	 7.371E+12	 0.709	 0.780	 0.570 
TS7	 8.865E+12	 1.439	 0.940	 -0.150 
empty	 5.796E+12	 2.030	 0.000	 -0.720 
TS9	 6.622E+12	 1.235	 0.480	 -0.240 
TS10	 5.141E+12	 0.534	 0.860	 0.258 
TS11	 5.472E+12	 0.371	 0.480	 0.408 
TS12	 5.796E+12	 0.753	 0.110	 -0.312 
TS13	 9.042E+12	 1.371	 1.310	 0.950 
TS14	 3.859E+12	 0.609	 1.030	 -0.650 
TS15	 5.486E+12	 0.549	 1.040	 -0.132 
TS16	 5.621E+12	 0.381	 1.750	 0.018 
TS17	 8.242E+12	 0.774	 1.020	 -0.702 
