"Etotal in eV, Edisp in eV, Vibfreq in 1/cm"																									
v1.0																									
Name	NumC	NumH	NumO	NumN	Islinear	A_st	Phase	Etotal	Edisp	Inertia	Sigma	NumVibFreq	VibFreq												
CO	1		1		1	1.75E-20	G	-588.9694		1.46E-46	1	1	2143												
CO2	1		2		1	5.25E-20	G	-1025.4623		7.15E-46	2	3	667	1333	2349										
O2			2		1	5.25E-20	G	-867.2017		1.95E-46	2	1	1580												
H2		2			1	5.25E-20	G	-31.6629		4.72E-48	2	1	4190												
H2O		2	1		0	1.75E-20	G	-467.4604		5.86E-141	2	3	1595	3657	3756										
CO*							S	-12039.09				4	367	374	455	2010									
O*							S	-11882.98				3	366	394	467										
H2O*							S	-11916.04				6	241	454	554	1559	3483	3606							
OH*							S	-11899.15				3	494	855	3576										
H*							S	-11464.54				3	692	701	986										
HCO**							S	-12054.46				8	235	333	377	535	718	1129	1284	2907					
HCOO***							S	-12489.87				9	287	322	336	733	904	1264	1288	1535	2995				
tCOOH*							S	-12490.26				9	267	308	434	572	655	1076	1206	1675	3341				
TST03							S	-11479.95				4	305	310	1601	2255									
TST04							S	-12472.44				6	290	350	370	422	545	1896							
TST06							S	-11915.26				7	254	282	493	524	870	1866	3552						
TST07							S	-11898.21				4	260	410	477	1796									
TST08							S	-12350.53				9	268	432	565	578	724	839	1353	1454	3551				
TST09							S	-12489.54				8	310	386	409	512	553	839	1926	3545					
TST10							S	-12489.4				7	275	319	555	576	1157	1804	1958						
TST11							S	-12924.54				11	235	264	324	448	568	630	1048	1120	1174	1764	2234		
TST12							S	-12941.08				12	267	308	434	494	572	655	855	1076	1206	1675	3341	3576	
TST13							S	-12054.1				7	213	288	315	624	977	1597	2053						
TST14							S	-12488.19				9	285	305	412	475	555	818	1057	1488	2975				
TST15							S	-12488.83				8	207	370	608	895	1030	1240	1532	1644					
TST16							S	-12922.88				11	235	264	324	448	568	630	1048	1120	1174	1764	2234		
TST17							S	-12922.88				11	235	264	324	448	568	630	1048	1120	1174	1764	2234		
TST18							S	-12939.78				13	201	225	375	473	652	674	963	977	1103	1292	1621	1959	3052
TST19							S	-12939.78				13	201	225	375	473	652	674	963	977	1103	1292	1621	1959	3052
*							S	-11448.22				0													
